order_id,customer_id,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_city,review_score,product_id,product_category_name_english,freight_value,price,waktu_untuk_satu_order,lama_pengiriman
order_id 30066,customer_id 30066,2017-07-09 20:10:55,2017-07-09 20:25:17,2017-07-11 18:17:53,2017-07-12 17:40:02,2017-07-21,suzano,5.0,product_id 3301,furniture_decor,9.34,56.9,69.48527777777778,23.36916666666667
order_id 71403,customer_id 71403,2017-08-22 21:35:07,2017-08-22 21:46:25,2017-08-23 17:16:42,2017-08-25 16:20:32,2017-09-14,divinopolis,5.0,product_id 4664,toys,16.07,49.9,66.75694444444444,47.06388888888889
order_id 55435,customer_id 55435,2017-10-24 10:44:15,2017-10-25 02:08:43,2017-10-25 20:37:04,2017-10-30 21:16:59,2017-11-10,sao jose do rio preto,5.0,product_id 10933,bed_bath_table,12.69,47.99,154.54555555555555,120.66527777777777
order_id 82874,customer_id 82874,2018-08-19 18:06:33,2018-08-20 12:50:44,2018-08-20 14:32:00,2018-08-23 20:16:43,2018-09-11,bambui,5.0,product_id 9724,sports_leisure,18.89,112.49,98.16944444444445,77.74527777777777
order_id 21101,customer_id 21101,2018-03-11 22:10:16,2018-03-11 22:28:02,2018-03-12 22:54:50,2018-03-21 00:42:31,2018-04-04,Other,5.0,product_id 3653,toys,19.75,110.9,218.5375,193.79472222222222
order_id 63709,customer_id 63709,2018-06-28 15:18:32,2018-06-28 15:31:18,2018-06-28 15:41:00,2018-07-05 20:03:48,2018-07-25,santos,4.0,product_id 24824,bed_bath_table,14.2,89.0,172.75444444444443,172.38
order_id 67108,customer_id 67108,2017-09-13 16:10:27,2017-09-13 16:25:41,2017-09-14 17:23:59,2017-09-29 15:22:46,2017-10-10,Other,4.0,product_id 25630,bed_bath_table,17.95,53.99,383.2052777777778,357.9797222222222
order_id 40019,customer_id 40019,2018-05-07 12:12:25,2018-05-07 18:15:43,2018-05-08 14:45:00,2018-05-15 14:12:41,2018-05-28,guaruja,1.0,product_id 282,home_confort,10.29,86.9,194.00444444444443,167.46138888888888
order_id 42878,customer_id 42878,2017-12-15 12:46:22,2017-12-15 12:58:23,2017-12-18 17:07:36,2017-12-29 18:53:34,2018-01-10,sao paulo,3.0,product_id 2226,furniture_decor,16.61,139.99,342.12,265.7661111111111
order_id 37423,customer_id 37423,2017-05-04 07:48:30,2017-05-05 02:23:05,2017-05-25 21:13:55,2017-05-31 04:53:55,2017-06-08,Other,4.0,product_id 5127,telephony,24.84,12.97,645.0902777777778,127.66666666666667
order_id 52396,customer_id 52396,2017-12-17 23:33:00,2017-12-19 18:31:46,2017-12-20 20:27:15,2017-12-27 13:54:41,2018-01-11,sao paulo,5.0,product_id 21913,auto,14.86,159.0,230.36138888888888,161.4572222222222
order_id 70346,customer_id 70346,2018-08-23 17:38:27,2018-08-23 18:31:11,2018-08-24 12:51:00,2018-08-29 15:26:40,2018-09-04,governador valadares,5.0,product_id 16656,bed_bath_table,19.5,44.85,141.8036111111111,122.59444444444445
order_id 57889,customer_id 57889,2018-05-18 12:24:25,2018-05-18 13:27:12,2018-05-18 13:51:00,2018-06-02 14:12:11,2018-06-05,sao paulo,5.0,product_id 12486,bed_bath_table,14.14,47.85,361.7961111111111,360.35305555555556
